,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_station[Aotizhongxin],4.06571140265321,0.016371022204451895,4.040553525013897,4.09341017775826,14.824146947761445,24.085751412072618,1.14873153735187,0.004303354504835953,0.0016916392507079216
alpha_station[Changping],4.009979418599934,0.01713725741484869,3.983370110728072,4.039273535466526,18.194539311988,32.765058956499324,1.1280387377425356,0.004079529955631987,0.0013274738000982186
alpha_station[Dingling],3.881773701370127,0.017290862885843108,3.855863440829261,3.9108671336937784,19.28108571761669,33.17595122917991,1.1209294057069517,0.0039968154355259095,0.0012728958024764206
alpha_station[Dongsi],4.152970082687688,0.016125363040612847,4.127398197965168,4.179854458798688,14.26689217540592,22.415779591920888,1.15368224040633,0.004297356676443396,0.001753400885271039
alpha_station[Guanyuan],4.077907508550981,0.01656602356033015,4.0522801581417145,4.106937801582008,15.215659489954124,23.76708574834203,1.1441807012253216,0.004295377373032196,0.0017948094957322678
alpha_station[Gucheng],4.1195905055222815,0.01701569180880238,4.093883976775628,4.148099292385409,19.556564941092276,31.787595921492258,1.1178162098813769,0.003908635826877941,0.0014309352454480728
alpha_station[Huairou],3.867624597277633,0.01801242253237745,3.840127998057197,3.8982992019582534,18.881651237830514,37.417929711196784,1.1166731881140177,0.00421172731698844,0.0012614435180250197
alpha_station[Nongzhanguan],4.1360214043544685,0.016199881242141223,4.110569372122533,4.162056165028067,14.619730607812533,30.47684231895177,1.152826117759274,0.004271727526030294,0.001652361362956912
alpha_station[Shunyi],4.049350495937101,0.016284967009175654,4.0240055313699745,4.075597450104623,17.32992235485641,31.659021698870287,1.1293647515105982,0.003932931912560429,0.0016078644109181
alpha_station[Tiantan],4.115705162756238,0.016103629827264383,4.0909112353397,4.142358283744976,15.480932940085633,28.379459690363014,1.143189751409808,0.004129536892770199,0.0016262844364448674
alpha_station[Wanliu],4.041471441329231,0.016714751673211452,4.016575098804638,4.069784245361781,14.830293877256976,23.028477133882795,1.1527602398911616,0.004395253473736158,0.0016945243165141061
alpha_station[Wanshouxigong],4.128130111910606,0.01604628862967584,4.1030328509533165,4.154779515113156,15.039200512813066,33.97980479322601,1.1489200078196813,0.00414140606634039,0.0015931655672279466
gamma_group[background],3.87405083439998,0.04044129558471505,3.807956767178178,3.9384101348972957,176.0690073006366,298.26916855589303,1.0189897838188602,0.0030302601342221767,0.0012165242147857136
gamma_group[suburban_industrial],4.058239877406063,0.032890678621924956,4.006333383096316,4.108701151350081,82.73855614852653,248.3353643970206,1.0360950217685267,0.003559905039414977,0.0011725982914835822
gamma_group[urban],4.102761830346988,0.02396790715999005,4.0642483241947,4.139344067939714,37.4837110416054,156.70513062343127,1.059184319340986,0.0039023985466187837,0.0011068499081299298
"beta_station[Aotizhongxin, TEMP]",-0.6635053436824924,0.029557638505503202,-0.711629331729921,-0.6175982635942767,49.51641882936774,99.98645892833295,1.0541855543588543,0.004219103169482991,0.001361933978608698
"beta_station[Aotizhongxin, PRES]",-0.0006203843646100226,0.019442174997732382,-0.03224535833502672,0.03022199409120673,93.56836267807212,205.88695335916512,1.0161515800454664,0.0020158335282204226,0.0008088410509713995
"beta_station[Aotizhongxin, DEWP]",0.8229144754603919,0.02622585324870205,0.7809202644769654,0.8650555660078387,74.35598257710375,145.89157787900922,1.0353377446744478,0.0030437877597309774,0.0013185974015063107
"beta_station[Aotizhongxin, WSPM]",-0.010489389669052072,0.007744963973362419,-0.02281150606506942,0.001756119923379763,1252.330209419052,1401.8810437467637,1.0023710105660733,0.00021954480981242194,0.000137130784961472
"beta_station[Changping, TEMP]",-0.6815146204036865,0.02787308637420944,-0.7262467403077589,-0.6359600900107109,48.83588314275374,73.61669588933316,1.0538935664326259,0.003996038934544386,0.002255039669998833
"beta_station[Changping, PRES]",0.007073757563950403,0.019557796301120468,-0.02312481416442796,0.03738264089175391,92.82325007982796,171.4451113258248,1.0204830966428906,0.0020304871692402356,0.0008279467739584142
"beta_station[Changping, DEWP]",0.7879124983362283,0.02383387825860753,0.7501777453630237,0.824435678881833,77.79409120457332,145.6015133329108,1.0343437040121426,0.0027048984993441635,0.0012125385448841465
"beta_station[Changping, WSPM]",-0.03193549307582558,0.006620532081909878,-0.042803778642690304,-0.02162972304921308,1094.3476870355648,1293.0125305835663,1.0039237159581071,0.00020146600630958656,0.0001352544338241699
"beta_station[Dingling, TEMP]",-0.7933220808252215,0.029090888622560172,-0.8420731955819014,-0.7474908167700858,53.28321802106023,75.66169909542629,1.0492037894761348,0.003991326594610307,0.001873814969295614
"beta_station[Dingling, PRES]",-0.010056445145792571,0.020078671685460882,-0.04190277301499339,0.021515004180681092,94.65094220955943,173.15867974421343,1.0173145498333465,0.0020637249715178374,0.0008989505951125243
"beta_station[Dingling, DEWP]",0.9271660608540656,0.023964105080390794,0.8902019962807657,0.965354502529802,77.3774638612095,164.46842518905288,1.0361983203683987,0.0027289274752246647,0.0013397839544828146
"beta_station[Dingling, WSPM]",-0.034904371270463884,0.006707462427624734,-0.04521049659518071,-0.024160914176110587,1247.7620725976499,1503.9098985475669,1.0005895226577899,0.0001891454461081842,0.00013190622331580036
"beta_station[Dongsi, TEMP]",-0.6219168155729886,0.029047711905123674,-0.670698917028971,-0.5775594895609037,52.33240251875686,109.29633215734499,1.0495375976457153,0.004017952092049952,0.0015545910685218483
"beta_station[Dongsi, PRES]",-0.03733271105090088,0.01965353155267995,-0.06827934283713655,-0.005523932155595809,95.1770007746844,186.2203198250029,1.0152517086779376,0.0020136417767953265,0.0008466535761860606
"beta_station[Dongsi, DEWP]",0.751031096365253,0.024991210068204903,0.7115803321629697,0.7908960650843858,81.07386669177608,150.73142864238497,1.031978267185085,0.0027769386204296465,0.0013113335861723503
"beta_station[Dongsi, WSPM]",-0.05746215770156,0.006823504303988279,-0.06852966524223457,-0.04651114044551983,1129.1035623524854,1353.0479210186847,1.0031981594037098,0.0002023640011688312,0.00012287501229867525
"beta_station[Guanyuan, TEMP]",-0.6560586088859176,0.030020508133642352,-0.7046119520930226,-0.607743671229079,50.75128195683839,69.90335312089161,1.0539052147456487,0.004219072963927382,0.0016909200654225622
"beta_station[Guanyuan, PRES]",0.0015669797616282683,0.019727687082255377,-0.030315496713288263,0.0329478621512647,90.64504149730315,185.22992395841658,1.015604664409035,0.0020723391988808704,0.0008274788169976058
"beta_station[Guanyuan, DEWP]",0.8151210744774829,0.02639439827754976,0.7745457421577013,0.8566570475678174,76.35604709434502,145.68482727996675,1.0364771851350167,0.0030337788152582147,0.001395788126635686
"beta_station[Guanyuan, WSPM]",-0.03156856415889556,0.007365211698798604,-0.043618979821348894,-0.019796505159725763,1131.0994499336568,1415.7015979816313,1.0034266830980174,0.00021913970744874735,0.00013526205397162598
"beta_station[Gucheng, TEMP]",-0.6222416186164093,0.0286190126114473,-0.6683358341230651,-0.577821099832498,46.82985754484351,93.32244208506428,1.0626749468904002,0.004194985033356484,0.0015455797091415932
"beta_station[Gucheng, PRES]",0.020702693639481348,0.020029827253352506,-0.011286825417675516,0.05209057482406108,91.4430244727885,199.9537327289424,1.0189043318297084,0.002096510910964115,0.0008719204954758411
"beta_station[Gucheng, DEWP]",0.7317090610279331,0.025179253714361256,0.6923445012933456,0.7728929894089657,71.98267212295124,137.95281053629543,1.041545845051691,0.0029604291122105023,0.0012358837488091047
"beta_station[Gucheng, WSPM]",-0.04844198748945468,0.007071199285495203,-0.05964979654268954,-0.03689456629303407,1495.5372585082528,1489.8665418558055,1.0007997134502342,0.00018322678809350737,0.00013191838815635476
