,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
tau_station[Aotizhongxin],19.68979801761814,0.44635152479382456,19.1013451071198,20.410728005105057,3125.1989225172533,2330.5335466551132,1.0035992181817073,0.008888388672983721,0.01258686440232407
tau_station[Changping],19.68100746221999,0.43981101636791536,19.1216648150314,20.350964826052707,2749.0889077413444,2035.9923270908832,0.9998197911536393,0.00954652470126094,0.0167749657731742
tau_station[Dingling],19.680509020394243,0.4277576690938287,19.120551703942365,20.340918153627822,2716.062345327384,2239.5282811042857,0.999699750751224,0.008561467517906833,0.013263441724201023
tau_station[Dongsi],19.633201142850826,0.4568322277304069,19.01381759323284,20.310283888939217,2655.9672776903576,1556.975427650593,0.9999344618331696,0.01002226880931315,0.014680036359567487
tau_station[Guanyuan],19.66931701523324,0.4593401365865351,19.062311064835722,20.334463494860692,3416.505049056986,2057.2852878212525,1.0021514461095875,0.008491802750221227,0.012867623113083896
tau_station[Gucheng],19.66748540368283,0.4409920110349269,19.086077438289855,20.339026148539727,3183.6256730549103,2312.1029773856317,0.9997766211339434,0.008254238743320418,0.010682380132797724
tau_station[Huairou],19.644127378505868,0.4468203452749857,19.054029175069726,20.2763465272759,3227.1061573964903,2237.467163492363,1.0014466628879921,0.008412676446768236,0.0125499206877268
tau_station[Nongzhanguan],19.719701432012627,0.47799037347602796,19.1150948103452,20.463935089910017,2939.6459372432223,2356.0941520627475,1.000378739654506,0.009704214906182736,0.014685416453470358
tau_station[Shunyi],19.671217842106508,0.45146146830782974,19.05023961173214,20.383511793152273,3471.8124244268506,2244.878342897236,0.9999829551015035,0.008483073512936305,0.01154333356900467
tau_station[Tiantan],19.687015861988893,0.48326523465592186,19.0842380494276,20.420318440559925,3152.6180866526197,2064.6830100075153,1.0002011754954754,0.009933075195164912,0.020399926373584166
tau_station[Wanliu],19.68226555336273,0.449322381358023,19.076351949729077,20.370151016880538,3313.759485664975,2209.659562689457,1.00247368125249,0.008517010136385502,0.012471472983717662
tau_station[Wanshouxigong],19.686289586347065,0.4779518548785673,19.071538284204586,20.40513864555033,3478.889754894892,2097.9331559904267,1.000811547589498,0.009123320853508783,0.013860452584047367
delta[Aotizhongxin],-0.18329724236234873,0.03148413870604043,-0.23142770279555974,-0.1349359535070557,3284.1520529844142,2455.2892596567817,1.00069201867358,0.000551659288925258,0.00048535134255930923
delta[Changping],-0.19463533993062948,0.03423347274555563,-0.25146850392709713,-0.14630554992312111,2514.6271745820814,2417.39924196578,1.0008084767336347,0.0006745804712112298,0.0006673103234324112
delta[Dingling],-0.1931823205972737,0.03397279090066136,-0.24957668117196405,-0.14618390752630311,2981.3610700428167,1763.38468785356,1.0014999426268902,0.0006381337963361467,0.0006461042032908694
delta[Dongsi],-0.17466842514839884,0.0323316654155265,-0.22219230789519864,-0.12039184845404022,3810.2161713032838,2492.734594898613,1.000161954774026,0.0005349422511423109,0.0004748782800605367
delta[Guanyuan],-0.17805519436355507,0.031815507271677076,-0.22585496420463436,-0.1268498549043208,2914.276467407874,2250.1673871156663,1.0015110107121954,0.0005974825021181832,0.000544268789595157
delta[Gucheng],-0.17687345725426462,0.03127773802477032,-0.2226334912024536,-0.12437724465777823,3335.1086538511004,2115.0479324057387,0.9997900614007766,0.0005508308331373988,0.0004489413504411152
delta[Huairou],-0.1906719175695571,0.0314799247310691,-0.24196756745927098,-0.1441315207467363,2951.870360921373,2461.0891099479154,1.0016197132678755,0.0005819269871463656,0.0005206230786270795
delta[Nongzhanguan],-0.17588197033633177,0.03241453105545899,-0.22383319014575911,-0.12220643746814673,3465.297763408068,2435.7693784563203,1.002447231841361,0.0005533621682860086,0.0005443461787860765
delta[Shunyi],-0.17802427438125,0.03267327268180973,-0.22730347624428776,-0.12372857934351143,3031.303069206205,2300.6986491562307,1.0008942602053899,0.0005985448742408395,0.0005095841980120732
delta[Tiantan],-0.18003794435514173,0.03187123308787914,-0.2274501428549983,-0.12898029355952972,3258.335004003798,2208.655880463982,1.0020918578879559,0.0005542119850509,0.000507447893271927
delta[Wanliu],-0.19108884940560356,0.032268780753425826,-0.24671622746603597,-0.14537290001144862,3438.289579184044,2450.5970053968,1.000296479820109,0.0005586933002626122,0.00046911984787632844
delta[Wanshouxigong],-0.17499335939322536,0.03232594526441776,-0.22181175448039764,-0.12124688263792897,3303.765490918427,2471.895362673882,0.9998079696139528,0.0005672807626860934,0.0005429944567560303
level_pre[Aotizhongxin],4.4814501138781795,0.03495556523535009,4.425458145837839,4.537062855945793,3577.156137126566,2084.8070784151023,1.0011879664491885,0.0005857528881973433,0.0004236077667858493
level_pre[Changping],4.353767315919743,0.03747191395861288,4.295253308440929,4.413031028485576,4098.756062557964,2543.0081835775454,0.9998750454230225,0.0005857466996535037,0.0004136189764373079
level_pre[Dingling],4.288116725312499,0.03722403251935102,4.230614144237023,4.3488572124578395,2861.3990697680997,2441.143874247622,1.0001764985229884,0.000696944923285172,0.0005059539426446816
level_pre[Dongsi],4.511575814282473,0.035193640837912,4.456092550418123,4.567389356914779,4288.244285252247,2571.6406887451813,1.000017371786375,0.0005386418980638509,0.00039545621753570996
level_pre[Guanyuan],4.48410829714654,0.035701638250223176,4.428126867236035,4.540772031777855,3765.2032929760426,2461.5729788777016,1.0000706958310228,0.0005815686067309293,0.0004391447430152343
level_pre[Gucheng],4.489449220471911,0.03586569627660132,4.432916755222395,4.546008768965808,3900.6163524018925,2719.685818590791,1.0000601030494194,0.0005746767727970157,0.0003951182737018721
level_pre[Huairou],4.333617851378856,0.03693801466148375,4.275415066793114,4.392816414094585,3880.8360718342806,2604.0799434874357,0.9995960484028625,0.0005903388646603426,0.00041013873207289183
level_pre[Nongzhanguan],4.498894653312199,0.035536147503421954,4.44261027056622,4.553982737179741,4137.282753030555,2183.6756799981085,0.9998937729698084,0.0005559076854825039,0.00039132611984290725
level_pre[Shunyi],4.446492258633185,0.03593207432104407,4.390051306687856,4.504877244408492,3675.672046906176,2458.59201345943,0.999833745016557,0.000595518268514147,0.000431467562240499
level_pre[Tiantan],4.473955845954564,0.035481874606571616,4.41694569629749,4.530733664742323,3942.45237164742,2763.80756320752,0.9994244028801534,0.0005654197462820691,0.00039517102493407476
level_pre[Wanliu],4.491460227543321,0.03565322691654341,4.4361795039284555,4.547368425906194,3964.4100201692604,2730.461484279055,1.0002768591789262,0.0005673994142533691,0.0004208928819308823
level_pre[Wanshouxigong],4.498216099827235,0.036264176421230636,4.439431644515748,4.555290357413887,4230.966776340461,2977.613142810871,0.9998508045321344,0.0005579221433041947,0.00040183995448972925
