,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_station[Aotizhongxin],-3.090251962246137,1.2759009866065418,-4.534526619765413,-1.8186292388368355,2.536962504098914,15.400713050743999,2.2330849587812436,0.8976014389565261,0.07435977575752457
alpha_station[Changping],-3.8360860553664,0.5664226918754487,-4.573914174332571,-3.27952669792603,2.5395985690575915,16.177621420473024,2.234153166204714,0.3940670324524804,0.07567601763719643
alpha_station[Dingling],-3.9614575616334573,0.529875746324679,-4.679605599468859,-3.4451129452339972,2.542275730332229,16.605028884546357,2.2317660066471383,0.3661922585364083,0.08408425240492881
alpha_station[Dongsi],-3.1639535456786967,0.6719474942636252,-3.995594318214725,-2.4990549669263817,2.549594319379743,17.84778523282601,2.2319667144789723,0.46999485781912503,0.06866570734001642
alpha_station[Guanyuan],-3.7677997850082234,0.6324915758359321,-4.574428502318812,-3.1438924027263817,2.540460148567435,15.864885548939919,2.231724545504427,0.4414086061107134,0.07333340882794784
alpha_station[Gucheng],-3.3883739259004844,1.5662901833484573,-5.160164811805515,-1.8270526797343551,2.5413186896140236,15.935080081033236,2.2341247663974726,1.102007758393227,0.08783461063686829
alpha_station[Huairou],-3.692565520711263,1.122389054468703,-5.0049244186980175,-2.575997101926672,2.5404780345026934,16.578722074573385,2.231742935042703,0.7884542812067024,0.08044962113547553
alpha_station[Nongzhanguan],-3.019272758596792,0.7023724183267466,-3.8912020570735195,-2.3244478751323934,2.5367324886641685,15.382274439830244,2.2321173778172705,0.4912383241093958,0.07215983585631686
alpha_station[Shunyi],-3.4652089866923323,0.40502183290788935,-4.030979716506629,-3.072563377132295,2.5378449212861574,15.948279622759426,2.231927995018126,0.2787752670494223,0.06984116433147122
alpha_station[Tiantan],-3.814039618994273,0.19604556273014362,-4.156035622254914,-3.6462978280866647,2.7307399905683005,16.653505246198048,2.235421594984283,0.12192295130620298,0.0718076530195803
alpha_station[Wanliu],-4.0056904295473785,0.5912159363948988,-4.7738107541044785,-3.424694459900214,2.544800216982366,16.646861203050328,2.2349728837214076,0.41130290610731157,0.0797971833136101
alpha_station[Wanshouxigong],-2.970929150426344,1.2336513704823735,-4.382131245291488,-1.7416982530476983,2.5436081324785795,16.786129877608403,2.2324301445719605,0.8676986982162119,0.07406003046704841
mu_group[background],-3.672835088679583,0.8194469332237444,-4.821737166596066,-2.877566332598082,2.557826392603948,16.058275289828593,2.235861586839969,0.5640758325053928,0.1462472492612451
