,PM2.5,PM2.5,PM2.5,PM10,PM10,PM10,SO2,SO2,SO2,NO2,NO2,NO2,CO,CO,CO,O3,O3,O3
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
station,,,,,,,,,,,,,,,,,,
Aotizhongxin,82.5,58.0,81.8,110.0,87.0,95.2,17.3,9.0,22.7,59.2,53.4,36.9,1259.3,900.0,1236.3,55.4,41.0,57.2
Changping,71.0,46.6,72.3,94.8,72.0,83.9,14.9,7.0,21.0,44.1,36.0,29.5,1155.9,800.0,1120.4,57.9,46.0,54.2
Dingling,66.2,41.0,72.8,84.0,60.0,80.2,11.8,5.0,15.6,27.3,19.0,26.3,896.8,600.0,889.8,68.6,61.0,54.1
Dongsi,85.9,61.0,86.2,110.3,86.0,98.2,18.5,10.0,22.9,53.4,47.0,33.4,1309.6,1000.0,1159.2,57.3,44.9,58.0
Guanyuan,82.8,59.0,81.0,109.2,89.0,92.1,17.6,8.0,23.6,58.0,51.0,35.2,1256.7,900.0,1149.5,54.9,40.0,57.1
Gucheng,83.9,60.0,82.9,119.2,100.0,97.5,15.5,7.0,22.0,55.8,50.0,36.5,1319.6,900.0,1205.5,57.5,44.0,56.8
Huairou,69.3,46.0,70.9,91.5,69.0,84.1,12.1,4.0,18.9,32.0,25.0,26.2,1018.0,800.0,890.0,59.7,49.0,54.3
Nongzhanguan,85.1,59.0,86.6,109.5,86.0,96.0,18.8,9.0,24.4,58.1,51.0,36.3,1326.6,900.0,1256.6,58.4,44.0,58.3
Shunyi,79.5,55.0,81.3,99.1,77.0,90.4,13.4,5.0,19.4,43.7,37.0,30.7,1181.1,800.0,1158.4,54.5,43.0,54.4
Tiantan,82.0,58.0,80.9,106.5,85.0,90.3,14.3,7.0,20.1,53.2,47.0,32.0,1300.0,900.0,1178.5,55.9,40.0,59.2
Wanliu,83.5,59.0,82.1,110.7,88.0,93.5,18.4,10.0,22.7,65.3,60.0,37.8,1312.3,900.0,1263.9,47.3,30.0,54.2
Wanshouxigong,85.0,60.0,85.9,112.4,91.0,98.1,17.2,8.0,24.0,55.4,48.0,35.8,1369.0,1000.0,1226.1,55.8,42.0,56.9
